CODIGO,PRODUTO, PREÇO,IPI,CAS,NCM,ST,EXERCITO,CIVIL,FEDERAL,IBAMA,ONU,CLASSE RISCO,VALIDADE,CONCENTRACAO,DENSIDADE,CATEGORIA,SUBCATEGORIA
TP04990RA,TETRAOXALATO DE POTASSIO DIHIDRATADO PA 100G," R$  201,15 ","0,00%",6100-20-5,2917.11.10,NAO,N,N,N,N,-,-,6 - ANO,99,"1,84",Sais Inorgânicos,Outros Sais
T02111RA,TIMEROSAL 97-101% 100G," R$  2.472,55 ","0,00%",54-64-8,2852.10.22,NAO,N,N,N,N,2025,6.1,4 - ANO,97,"2,5",Indicadores,Indicadores e Corantes
T09342RA,TIMOL PURO 100G," R$  56,99 ","0,00%",89-83-8,2907.19.90,NAO,N,N,N,N,2430,8,4 - ANO,99,"0,97",Compostos Orgânicos,Diversos
T05622RA,TIMOL PURO 1KG," R$  524,22 ","0,00%",89-83-8,2907.19.90,NAO,N,N,N,N,2430,8,4 - ANO,99,"0,97",Compostos Orgânicos,Diversos
T03987RA,TIMOL PURO 250G," R$  135,44 ","0,00%",89-83-8,2907.19.90,NAO,N,N,N,N,2430,8,4 - ANO,99,"0,96",Compostos Orgânicos,Diversos
T03986RA,TIMOL PURO 500G," R$  266,78 ","0,00%",89-83-8,2907.19.90,NAO,N,N,N,N,2430,8,4 - ANO,99,"0,96",Compostos Orgânicos,Diversos
T08612SO,"TIMOLFTALEINA EM ETANOl (PH 9,3- 10,5) 1L"," R$  32,25 ","0,00%",125-20-2,2932.20.00,NAO,N,N,N,N,1993,3,2 - ANO,"0,01","0,87",Solventes e Água,Solventes
T06272RA,TIMOLFTALEINA PA ACS 25G," R$  44,90 ","0,00%",125-20-2,2932.20.00,NAO,N,N,N,N,-,-,6 - ANO,0,"1,2",Compostos Orgânicos,Diversos
T07541RA,TIMOLFTALEINA PA ACS 5G," R$  14,85 ","0,00%",125-20-2,2932.20.00,NAO,N,N,N,N,-,-,6 - ANO,0,"1,2",Compostos Orgânicos,Diversos
T08070RA,"TIOACETAMIDA 98,5% PA 100G"," R$  227,29 ","0,00%",62-55-5,2930.90.99,NAO,N,N,N,N,3077,9,6 - ANO,"98,5","1,37",Compostos Orgânicos,Ésteres e Amidas
T07359RA,"TIOACETAMIDA 98,5% PA 25G"," R$  65,30 ","0,00%",62-55-5,2930.90.99,NAO,N,N,N,N,3077,9,6 - ANO,"98,5","1,37",Compostos Orgânicos,Ésteres e Amidas
T06984RA,"TIOACETAMIDA 98,5% PA 50G"," R$  126,05 ","0,00%",62-55-5,2930.90.99,NAO,N,N,N,N,3077,9,6 - ANO,"98,5","1,37",Compostos Orgânicos,Ésteres e Amidas
T03875RA,TIOACETAMIDA PA 250G," R$  561,43 ","0,00%",62-55-5,2930.90.99,NAO,N,N,N,N,3077,9,6 - ANO,"98,5","1,37",Compostos Orgânicos,Ésteres e Amidas
T07998SO,TIOACETAMIDA SOL.4% AQUOSA 1L," R$  252,19 ","0,00%",62-55-5,2930.90.99,NAO,N,N,N,N,-,-,4 - ANO,4,1,Compostos Orgânicos,Ésteres e Amidas
T03368SO,TIOACETAMIDA TS 1L," R$  150,12 ","0,00%",62-55-5,2930.90.19,NAO,N,N,N,N,-,-,4 - ANO,0,1,Compostos Orgânicos,Ésteres e Amidas
TA04042RA,TIOCIANATO DE AMONIO INDUSTRIAL 500G," R$  22,12 ","0,00%",1762-95-4,2842.90.00,NAO,N,N,N,N,-,-,6 - ANO,95,"1,3",Sais Inorgânicos,Outros Sais
TA04496RA,TIOCIANATO DE AMONIO PA 500G," R$  40,95 ","0,00%",1762-95-4,2842.90.00,NAO,N,N,N,N,-,-,6 - ANO,98,"1,3",Sais Inorgânicos,Outros Sais
TA05639RA,TIOCIANATO DE AMONIO PA ACS ISO 500G," R$  310,77 ","0,00%",1762-95-4,2842.90.00,NAO,N,N,N,N,-,-,6 - ANO,99,"1,3",Sais Inorgânicos,Outros Sais
TA08608SO,"TIOCIANATO DE AMONIO SOL.0,1N(M) 1L"," R$  22,14 ","0,00%",1762-95-4,2842.90.00,NAO,N,N,N,N,-,-,2 - ANO,"0,712",1,Sais Inorgânicos,Outros Sais
TA07030SO,TIOCIANATO DE AMONIO SOL.10% 1L," R$  23,77 ","0,00%",1762-95-4,2842.90.00,NAO,N,N,N,N,-,-,4 - ANO,10,1,Sais Inorgânicos,Outros Sais
TA08607SO,TIOCIANATO DE AMONIO SOL.1N(M) 1L," R$  22,14 ","0,00%",1762-95-4,2842.90.00,NAO,N,N,N,N,-,-,2 - ANO,"7,12",1,Sais Inorgânicos,Outros Sais
TP07543RA,TIOCIANATO DE POTASSIO PA 500G," R$  91,16 ","0,00%",333-20-0,2842.90.00,NAO,N,N,N,N,-,-,6 - ANO,99,"1,95",Sais Inorgânicos,Outros Sais
TP06961SO,"TIOCIANATO DE POTASSIO SOL.0,01N(M) 1L"," R$  22,15 ","0,00%",333-20-0,2842.90.00,NAO,N,N,N,N,-,-,2 - ANO,"0,097","1,95",Sais Inorgânicos,Outros Sais
TP03267SO,"TIOCIANATO DE POTASSIO SOL.0,1% (P/V) RS 1L	"," R$  18,73 ","0,00%",333-20-0,2842.90.00,NAO,N,N,N,N,-,-,4 - ANO,"0,1",1,Sais Inorgânicos,Outros Sais
TP08606SO,"TIOCIANATO DE POTASSIO SOL.0,1N(M) 1L"," R$  15,25 ","0,00%",333-20-0,2842.90.00,NAO,N,N,N,N,-,-,2 - ANO,"0,97","1,95",Sais Inorgânicos,Outros Sais
TP08604SO,TIOCIANATO DE POTASSIO SOL.1N(M) 1L," R$  30,38 ","0,00%",333-20-0,2842.90.00,NAO,N,N,N,N,-,-,2 - ANO,"9,7","1,95",Sais Inorgânicos,Outros Sais
TP08603SO,TIOCIANATO DE POTASSIO SOL.25% 1L," R$  71,75 ","0,00%",333-20-0,2842.90.00,NAO,N,N,N,N,-,-,4 - ANO,25,"1,95",Sais Inorgânicos,Outros Sais
TP05091SO,TIOCIANATO DE POTASSIO SOL.2N(M) 1L," R$  83,76 ","0,00%",333-20-0,2842.90.00,NAO,N,N,N,N,-,-,2 - ANO,"19,4","1,95",Sais Inorgânicos,Outros Sais
TS09088SO,"TIOCIANATO DE SODIO SOL.0,025N 1L"," R$  21,90 ","0,00%",540-72-7,2842.90.00,NAO,N,N,N,N,-,-,2 - ANO,"0,0203",1,Sais Inorgânicos,Outros Sais
TS08596SO,"TIOCIANATO DE SODIO SOL.0,1N 1L"," R$  19,84 ","0,00%",540-72-7,2842.90.00,NAO,N,N,N,N,-,-,2 - ANO,"0,81",1,Sais Inorgânicos,Outros Sais
TA03937RA,TIOGLICOLATO DE AMONIO 58-62% AQUOSA 1L," R$  166,32 ","0,00%",5421-46-5,2930.90.11,NAO,N,N,N,N,2922,8(6.1),4 - ANO,58,"1,19",Compostos Orgânicos,Açúcares e Carboidratos
TS07475RA,TIOGLICOLATO DE SODIO PUREX 100G," R$  168,25 ","0,00%",367-51-1,2930.90.11,NAO,N,N,N,N,2811,6.1,6 - ANO,97,"1,2",Metais,Metais Alcalinos e Alcalino-Terrosos
TS05937RA,TIOGLICOLATO DE SODIO PUREX 25G," R$  66,15 ","0,00%",367-51-1,2930.90.11,NAO,N,N,N,N,2811,6.1,6 - ANO,97,"1,2",Metais,Metais Alcalinos e Alcalino-Terrosos
T07826RA,TIOSEMICARBAZIDA PA 25G," R$  295,56 ","0,00%",79-19-6,2930.90.23,NAO,N,N,N,N,2811,6.1,6 - ANO,"98,5","1,45",Compostos Orgânicos,Diversos
TA05599RA,TIOSSULFATO DE AMONIO PURO 100G," R$  188,56 ","0,00%",7783-18-8,2832.30.10,NAO,N,N,N,N,-,-,6 - ANO,98,"1,67",Sais Inorgânicos,Sulfatos e Sulfitos
